species ,season 
Domestic goose sp. (Domestic type),Y
Canada Goose,Y
goose sp.,Y
Wood Duck,Y
Mallard,Y
duck sp.,Y
Northern Bobwhite,M
Wild Turkey,Y
Rock Pigeon,Y
Eurasian Collared-Dove,Y
Mourning Dove,Y
Yellow-billed Cuckoo,S
Black-billed Cuckoo,M
Common Nighthawk,S
Chimney Swift,S
Ruby-throated Hummingbird,S
Sora,M
Sandhill Crane,M
Killdeer,Y
American Woodcock,W
Wilson's Snipe,W
Spotted Sandpiper,M
Solitary Sandpiper,M
Ring-billed Gull,M
gull sp.,Y
Common Loon,W
Anhinga,M
Double-crested Cormorant,W
Great Blue Heron,Y
Great Egret,M
Little Blue Heron,S
Green Heron,S
White Ibis,S
Black Vulture,Y
Turkey Vulture,Y
new world vulture sp.,Y
Osprey,S
Swallow-tailed Kite,S
Mississippi Kite,S
Northern Harrier,W
Sharp-shinned Hawk,W
Cooper's Hawk,Y
Sharp-shinned/Cooper's Hawk,Y
Bald Eagle,W
Red-shouldered Hawk,Y
Broad-winged Hawk,S
Red-tailed Hawk,Y
Buteo sp.,Y
hawk sp.,Y
Barn Owl,Y
Eastern Screech-Owl,Y
Great Horned Owl,Y
Barred Owl,Y
owl sp.,Y
Belted Kingfisher,Y
Yellow-bellied Sapsucker,W
Red-headed Woodpecker,Y
Red-bellied Woodpecker,Y
Downy Woodpecker,Y
Hairy Woodpecker,Y
Pileated Woodpecker,Y
Northern Flicker,W
woodpecker sp.,Y
American Kestrel,W
Merlin,W
Peregrine Falcon,M
small falcon sp.,M
falcon sp.,M
Eastern Wood-Pewee,S
Yellow-bellied Flycatcher,M
Acadian Flycatcher,S
Alder Flycatcher,M
Willow Flycatcher,M
Alder/Willow Flycatcher (Traill's Flycatcher),M
Least Flycatcher,M
Empidonax sp.,M
Eastern Phoebe,Y
Great Crested Flycatcher,S
Eastern Kingbird,S
Scissor-tailed Flycatcher,S
flycatcher sp. (Tyrannidae sp.),S
White-eyed Vireo,S
Yellow-throated Vireo,S
Blue-headed Vireo,W
Philadelphia Vireo,M
Philadelphia/Warbling Vireo,M
Red-eyed Vireo,S
vireo sp.,S
Loggerhead Shrike,W
Blue Jay,Y
American Crow,Y
Fish Crow,Y
crow sp.,Y
Carolina Chickadee,Y
Tufted Titmouse,Y
Horned Lark,W
Northern Rough-winged Swallow,S
Purple Martin,S
Tree Swallow,M
Barn Swallow,S
Cliff Swallow,M
swallow sp.,S
Golden-crowned Kinglet,W
Ruby-crowned Kinglet,W
Red-breasted Nuthatch,W
White-breasted Nuthatch,Y
Brown-headed Nuthatch,Y
Brown Creeper,W
Blue-gray Gnatcatcher,S
House Wren,S
Winter Wren,W
Sedge Wren,M
Marsh Wren,M
Carolina Wren,Y
European Starling,Y
Gray Catbird,S
Brown Thrasher,Y
Northern Mockingbird,Y
Eastern Bluebird,Y
Veery,M
Gray-cheeked Thrush,M
Swainson's Thrush,M
Hermit Thrush,W
Catharus sp.,M
Wood Thrush,S
American Robin,Y
thrush sp.,Y
Cedar Waxwing,W
House Sparrow,Y
American Pipit,W
House Finch,Y
Purple Finch,W
House/Purple Finch,Y
Pine Siskin,W
American Goldfinch,Y
Grasshopper Sparrow,M
Chipping Sparrow,Y
Clay-colored Sparrow,M
Field Sparrow,W
Fox Sparrow,W
Dark-eyed Junco,W
White-crowned Sparrow,W
White-throated Sparrow,W
Vesper Sparrow,W
LeConte's Sparrow,M
Nelson's Sparrow,M
Savannah Sparrow,W
Henslow's Sparrow,M
Song Sparrow,Y
Lincoln's Sparrow,W
Swamp Sparrow,W
Eastern Towhee,Y
sparrow sp.,W
Yellow-breasted Chat,S
Bobolink,M
Eastern Meadowlark,Y
Orchard Oriole,S
Baltimore Oriole,W
Red-winged Blackbird,Y
Brown-headed Cowbird,Y
Rusty Blackbird,W
Common Grackle,Y
blackbird sp.,Y
Ovenbird,M
Worm-eating Warbler,S
Louisiana Waterthrush,S
Northern Waterthrush,M
Louisiana/Northern Waterthrush,M
Golden-winged Warbler,M
Blue-winged Warbler,M
Golden-winged x Blue-winged Warbler (hybrid),M
Brewster's Warbler (hybrid),M
Black-and-white Warbler,S
Prothonotary Warbler,S
Swainson's Warbler,S
Tennessee Warbler,M
Orange-crowned Warbler,W
Nashville Warbler,M
Leiothlypis sp.,M
Connecticut Warbler,M
Mourning Warbler,M
Kentucky Warbler,S
Common Yellowthroat,Y
Hooded Warbler,S
American Redstart,S
Cape May Warbler,M
Cerulean Warbler,M
Northern Parula,S
Magnolia Warbler,M
Bay-breasted Warbler,M
Blackburnian Warbler,M
Yellow Warbler,M
Chestnut-sided Warbler,M
Blackpoll Warbler,M
Black-throated Blue Warbler,M
Palm Warbler,W
Pine Warbler,Y
Yellow-rumped Warbler,W
Yellow-throated Warbler,S
Prairie Warbler,M
Black-throated Green Warbler,M
Canada Warbler,M
Wilson's Warbler,M
warbler sp. (Parulidae sp.),Y
Summer Tanager,S
Scarlet Tanager,S
tanager sp. (Piranga sp.),S
Northern Cardinal,Y
Rose-breasted Grosbeak,M
Blue Grosbeak,S
Indigo Bunting,S
Painted Bunting,W
Dickcissel,M
passerine sp.,Y
wren sp.,Y
