"","X.3","X.2","X.1","X","X1","Site","visit","visAbund","visSR","Type","Location","PCurban"
"1",1,1,1,1,1,"chase",11,87,16,"unmanaged","north",0.739
"2",2,2,2,2,2,"chase",18,49,18,"unmanaged","north",0.739
"3",3,3,3,3,3,"chase",21,71,17,"unmanaged","north",0.739
"4",4,4,4,4,4,"chase",24,38,11,"unmanaged","north",0.739
"5",5,5,5,5,5,"chase",30,34,12,"unmanaged","north",0.739
"6",6,6,6,6,6,"chase",34,81,11,"unmanaged","north",0.739
"7",7,7,7,7,7,"chase",6,18,8,"unmanaged","north",0.739
"8",8,8,8,8,8,"chase",7,56,16,"unmanaged","north",0.739
"9",9,9,9,9,9,"riverbend",13,38,12,"unmanaged","south",0.558
"10",10,10,10,10,10,"riverbend",15,39,15,"unmanaged","south",0.558
"11",11,11,11,11,11,"riverbend",2,23,11,"unmanaged","south",0.558
"12",12,12,12,12,12,"riverbend",20,42,18,"unmanaged","south",0.558
"13",13,13,13,13,13,"riverbend",25,31,15,"unmanaged","south",0.558
"14",14,14,14,14,14,"riverbend",29,22,11,"unmanaged","south",0.558
"15",15,15,15,15,15,"riverbend",32,30,12,"unmanaged","south",0.558
"16",16,16,16,16,16,"riverbend",36,19,8,"unmanaged","south",0.558
"17",17,17,17,17,17,"riverbend",5,47,13,"unmanaged","south",0.558
"18",18,18,18,18,18,"riverbend",9,33,12,"unmanaged","south",0.558
"19",19,19,19,19,19,"sandycreek",14,31,16,"managed","north",0.423
"20",20,20,20,20,20,"sandycreek",17,36,9,"managed","north",0.423
"21",21,21,21,21,21,"sandycreek",22,41,17,"managed","north",0.423
"22",22,22,22,22,22,"sandycreek",23,41,13,"managed","north",0.423
"23",23,23,23,23,23,"sandycreek",27,30,12,"managed","north",0.423
"24",24,24,24,24,24,"sandycreek",3,31,20,"managed","north",0.423
"25",25,25,25,25,25,"sandycreek",33,52,15,"managed","north",0.423
"26",26,26,26,26,26,"sandycreek",8,32,16,"managed","north",0.423
"27",27,27,27,27,27,"sbg",1,29,12,"managed","south",0.105
"28",28,28,28,28,28,"sbg",10,129,17,"managed","south",0.105
"29",29,29,29,29,29,"sbg",12,17,8,"managed","south",0.105
"30",30,30,30,30,30,"sbg",16,44,15,"managed","south",0.105
"31",31,31,31,31,31,"sbg",19,145,17,"managed","south",0.105
"32",32,32,32,32,32,"sbg",26,34,11,"managed","south",0.105
"33",33,33,33,33,33,"sbg",28,28,9,"managed","south",0.105
"34",34,34,34,34,34,"sbg",31,68,19,"managed","south",0.105
"35",35,35,35,35,35,"sbg",35,23,14,"managed","south",0.105
"36",36,36,36,36,36,"sbg",4,30,20,"managed","south",0.105
