CheckNo,Site,Date,winter,sunrise ,startTime,endTime,startTemp,endTemp,startWind,endWind,startWeather,endWeather,nPeople,notes
1,sbg,9/24/2019,1,7:21,9:01,9:31,71,71,0,0,0,0,,
2,riverbend,9/24/2019,1,7:21,7:54,8:35,71,71,1,1,1,1,,
3,sandycreek ,9/26/2019,1,7:23,8:55,9:25,71,71,0,0,1,1,,
4,sbg,10/1/2019,1,7:27,7:50,8:20,71,71,0,0,1,1,11,
5,riverbend,10/1/2019,1,7:27,8:50,9:20,71,71,1,0,0,0,0,
6,chase ,10/3/2019,1,7:28,9:20,9:50,74,74,0,0,0,0,0,Did not count flyovers 
7,chase ,10/10/2019,1,7:33,8:05,8:35,59,59,1,2,1,2,0,Counted flyovers 
8,sandycreek ,10/10/2019,1,7:33,9:07,9:37,59,61,2,2,2,2,2,
9,riverbend,10/15/2019,1,7:37,8:30,9:00,61,61,0,0,3,3,0:00,"AMRU/C, TOWR"
10,sbg,10/15/2019,1,7:37,9:15,9:45,61,61,0,0,5,5,3,"HOCA, GRIA "
11,chase ,10/20/2019,1,7:40,9:34,10:04,60,60,2,2,3,1,,
12,sbg,10/22/2019,1,7:50,8:35,9:05,69,69,2,5,2,5,0,
13,riverbend,10/22/2019,1,7:50,9:30,10:00,69,64,4,3,3,4,0,BLVU 
14,sandycreek ,10/24/2019,1,7:46,9:35,10:05,49,49,,,,,3,
15,riverbend,10/29/2019,1,7:48,8:22,8:52,58,59,0,0,3,3,0,
16,sbg,10/29/2019,1,7:48,9:12,9:42,60,60,0,0,3,3,3,
17,sandycreek ,10/31/2019,1,7:52,9:04,9:35,73,73,2,2,3,3,1,
18,chase ,10/31/2019,1,7:52,9:48,10:18,73,73,1,1,3,3,0,
19,sbg,11/5/2019,1,6:50,8:24,8:54,,,0,0,0,1,2,
20,riverbend,11/5/2019,1,6:50,9:19,5:50,,,0,1,1,1,0,
21,chase ,11/7/2019,1,6:58,7:55,8:25,53,53,0,0,1,1,1,
22,sandycreek ,11/7/2019,1,6:58,8:45,9:15,53,53,0,0,1,1,3,
23,sandycreek ,11/14/2019,1,7:05,8:55,9:25,35,37,2,2,3,3,4,
24,chase ,11/14/2019,1,7:05,9:40,10:10,37,39,2,2,3,3,0,
25,riverbend,11/19/2019,1,7:09,8:32,9:02,46,46,1,1,1,1,0,
26,sbg,11/19/2019,1,7:09,9:24,9:56,46,46,1,2,1,1,1,
27,sandycreek ,11/21/2019,1,7:12,9:40,10:10,48,54,1,1,0,0,3,
28,sbg ,11/26/2019,1,7:16,9:45,10:05,41,49,1,0,1,1,4,
